analysis,condition,n_levels,seed,channel,energy_v,weight,rmse_mean,scorecard_path,selected_k,replicate,peak_window_radius,anchor_channel,anchor_energy_v,anchor_weight,matched_channel,energy_delta_v,matching_method
noise_perturbation,replicate_000,4,0,1,11.489749908447266,0.37286174297332764,0.08193442523479462,output/sensitivity/uncertainty/noise_perturbation/replicate_000/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,0.0,nan,1,11.500251770019531,0.3593961000442505,1,-0.010501861572265625,minimum_total_absolute_energy_delta
noise_perturbation,replicate_000,4,0,2,11.719486236572266,0.3840464949607849,0.08193442523479462,output/sensitivity/uncertainty/noise_perturbation/replicate_000/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,0.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.019769668579101562,minimum_total_absolute_energy_delta
noise_perturbation,replicate_000,4,0,3,12.56025505065918,0.08156076818704605,0.08193442523479462,output/sensitivity/uncertainty/noise_perturbation/replicate_000/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,0.0,nan,3,12.59369945526123,0.08622404932975769,3,-0.03344440460205078,minimum_total_absolute_energy_delta
noise_perturbation,replicate_000,4,0,4,13.950294494628906,0.16153095662593842,0.08193442523479462,output/sensitivity/uncertainty/noise_perturbation/replicate_000/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,0.0,nan,4,13.96471881866455,0.15827499330043793,4,-0.014424324035644531,minimum_total_absolute_energy_delta
noise_perturbation,replicate_000,4,1,1,11.490150451660156,0.3751163184642792,0.08197788745164872,output/sensitivity/uncertainty/noise_perturbation/replicate_000/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,0.0,nan,1,11.500251770019531,0.3593961000442505,1,-0.010101318359375,minimum_total_absolute_energy_delta
noise_perturbation,replicate_000,4,1,2,11.7201566696167,0.38230255246162415,0.08197788745164872,output/sensitivity/uncertainty/noise_perturbation/replicate_000/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,0.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.01909923553466797,minimum_total_absolute_energy_delta
noise_perturbation,replicate_000,4,1,3,12.559056282043457,0.08152160048484802,0.08197788745164872,output/sensitivity/uncertainty/noise_perturbation/replicate_000/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,0.0,nan,3,12.59369945526123,0.08622404932975769,3,-0.03464317321777344,minimum_total_absolute_energy_delta
noise_perturbation,replicate_000,4,1,4,13.944705963134766,0.16105960309505463,0.08197788745164872,output/sensitivity/uncertainty/noise_perturbation/replicate_000/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,0.0,nan,4,13.96471881866455,0.15827499330043793,4,-0.020012855529785156,minimum_total_absolute_energy_delta
noise_perturbation,replicate_000,4,2,1,11.489770889282227,0.3743900656700134,0.08200050443410874,output/sensitivity/uncertainty/noise_perturbation/replicate_000/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,0.0,nan,1,11.500251770019531,0.3593961000442505,1,-0.010480880737304688,minimum_total_absolute_energy_delta
noise_perturbation,replicate_000,4,2,2,11.719152450561523,0.3831597566604614,0.08200050443410874,output/sensitivity/uncertainty/noise_perturbation/replicate_000/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,0.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.02010345458984375,minimum_total_absolute_energy_delta
