n_levels,seed,curve_id,vr_class,segment_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,position_error_abs_mean,amplitude_error_abs_mean,target_oscillation_range,pred_oscillation_range,oscillation_ratio,flatline_guard_pass
1,0,1,0.0,7,0.09868737127439871,0.06629990628144074,0.056400452819389005,1.7857142857142858,0.10581868035452706,2.8450000286102295,2.80776809155941,0.9869132032771869,True
1,0,2,4.0,8,0.0753572394334092,0.058331961398643155,0.05822265063307715,0.625,0.08163198828697205,2.609999895095825,2.543341040611267,0.9744602079832226,True
1,0,3,6.0,9,0.09927103009887712,0.07035307375656251,0.0745199680798192,0.6666666666666666,0.09430553515752156,2.499000072479248,2.5171210765838623,1.0072513019523992,True
1,0,4,8.0,8,0.09950964628010008,0.07927782281067935,0.08145590368936825,0.625,0.0978282168507576,2.2760000228881836,2.265087127685547,0.9952052306270242,True
1,0,5,10.0,8,0.1038197757718125,0.07685957528577683,0.06592978703029623,0.5,0.09361409768462181,1.9759999513626099,1.951952338218689,0.9878301549919887,True
1,1,1,0.0,7,0.09868737127439871,0.06629990628144074,0.056400452819389005,1.7857142857142858,0.10581868035452706,2.8450000286102295,2.80776809155941,0.9869132032771869,True
1,1,2,4.0,8,0.0753572394334092,0.058331961398643155,0.05822265063307715,0.625,0.08163198828697205,2.609999895095825,2.543341040611267,0.9744602079832226,True
1,1,3,6.0,9,0.09927103009887712,0.07035307375656251,0.0745199680798192,0.6666666666666666,0.09430553515752156,2.499000072479248,2.5171210765838623,1.0072513019523992,True
1,1,4,8.0,8,0.09950964628010008,0.07927782281067935,0.08145590368936825,0.625,0.0978282168507576,2.2760000228881836,2.265087127685547,0.9952052306270242,True
1,1,5,10.0,8,0.1038197757718125,0.07685957528577683,0.06592978703029623,0.5,0.09361409768462181,1.9759999513626099,1.951952338218689,0.9878301549919887,True
1,2,1,0.0,7,0.09868737127439871,0.06629990628144074,0.056400452819389005,1.7857142857142858,0.10581868035452706,2.8450000286102295,2.80776809155941,0.9869132032771869,True
1,2,2,4.0,8,0.0753572394334092,0.058331961398643155,0.05822265063307715,0.625,0.08163198828697205,2.609999895095825,2.543341040611267,0.9744602079832226,True
1,2,3,6.0,9,0.09927103009887712,0.07035307375656251,0.0745199680798192,0.6666666666666666,0.09430553515752156,2.499000072479248,2.5171210765838623,1.0072513019523992,True
1,2,4,8.0,8,0.09950964628010008,0.07927782281067935,0.08145590368936825,0.625,0.0978282168507576,2.2760000228881836,2.265087127685547,0.9952052306270242,True
1,2,5,10.0,8,0.1038197757718125,0.07685957528577683,0.06592978703029623,0.5,0.09361409768462181,1.9759999513626099,1.951952338218689,0.9878301549919887,True
2,0,1,0.0,7,0.0731722455620787,0.05056269564821064,0.034820775220369186,1.2142857142857142,0.07158505916595459,2.8450000286102295,2.8167029321193695,0.9900537447429542,True
2,0,2,4.0,8,0.04979470827653486,0.03914337539625886,0.04355661666992275,0.375,0.04970955848693848,2.609999895095825,2.534572511911392,0.9711006183080081,True
2,0,3,6.0,9,0.05876970150172453,0.047400522817694836,0.053262161948336315,1.3333333333333333,0.057839678393469915,2.499000072479248,2.4817254543304443,0.9930873878960453,True
2,0,4,8.0,8,0.05475510386455494,0.049302741911550305,0.06166459993035122,1.375,0.060508813709020615,2.2760000228881836,2.2399635314941406,0.9841667438349523,True
2,0,5,10.0,8,0.07036750447728005,0.05468890729168262,0.04853601359010269,0.5625,0.0572860985994339,1.9759999513626099,1.907718539237976,0.965444628641034,True
2,1,1,0.0,7,0.0731722455620787,0.05056269564821064,0.034820775220369186,1.2142857142857142,0.07158505916595459,2.8450000286102295,2.8167029321193695,0.9900537447429542,True
2,1,2,4.0,8,0.04979470827653486,0.03914337539625886,0.04355661666992275,0.375,0.04970955848693848,2.609999895095825,2.534572511911392,0.9711006183080081,True
2,1,3,6.0,9,0.05876970150172453,0.047400522817694836,0.053262161948336315,1.3333333333333333,0.057839678393469915,2.499000072479248,2.4817254543304443,0.9930873878960453,True
2,1,4,8.0,8,0.05475510386455494,0.049302741911550305,0.06166459993035122,1.375,0.060508813709020615,2.2760000228881836,2.2399635314941406,0.9841667438349523,True
2,1,5,10.0,8,0.07036750447728005,0.05468890729168262,0.04853601359010269,0.5625,0.0572860985994339,1.9759999513626099,1.907718539237976,0.965444628641034,True
2,2,1,0.0,7,0.0731722455620787,0.05056269564821064,0.034820775220369186,1.2142857142857142,0.07158505916595459,2.8450000286102295,2.8167029321193695,0.9900537447429542,True
2,2,2,4.0,8,0.04979470827653486,0.03914337539625886,0.04355661666992275,0.375,0.04970955848693848,2.609999895095825,2.534572511911392,0.9711006183080081,True
2,2,3,6.0,9,0.05876970150172453,0.047400522817694836,0.053262161948336315,1.3333333333333333,0.057839678393469915,2.499000072479248,2.4817254543304443,0.9930873878960453,True
2,2,4,8.0,8,0.05475510386455494,0.049302741911550305,0.06166459993035122,1.375,0.060508813709020615,2.2760000228881836,2.2399635314941406,0.9841667438349523,True
2,2,5,10.0,8,0.07036750447728005,0.05468890729168262,0.04853601359010269,0.5625,0.0572860985994339,1.9759999513626099,1.907718539237976,0.965444628641034,True
3,0,1,0.0,7,0.07420158973639028,0.04899342978070685,0.031830338714243164,1.2142857142857142,0.07303697722298759,2.8450000286102295,2.8180901408195496,0.9905413400632459,True
3,0,2,4.0,8,0.050632094055998264,0.03903727716864104,0.04316130708938171,0.3125,0.050622694194316864,2.609999895095825,2.539414808154106,0.9729559042993265,True
3,0,3,6.0,9,0.05963771005277886,0.04686000940512311,0.05135353690359066,1.2777777777777777,0.05943928824530707,2.499000072479248,2.4846346378326416,0.9942515269187829,True
3,0,4,8.0,8,0.05643402197781508,0.0480169337048591,0.055541696314049975,1.375,0.06360520049929619,2.2760000228881836,2.258131504058838,0.9921491570080606,True
3,0,5,10.0,8,0.07086480386441961,0.05480638690762052,0.04363025849562656,0.5625,0.05725110322237015,1.9759999513626099,1.9078354835510254,0.9655038109871513,True
3,1,1,0.0,7,0.07420158973639028,0.04899342978070685,0.031830338714243164,1.2142857142857142,0.07303697722298759,2.8450000286102295,2.8180901408195496,0.9905413400632459,True
3,1,2,4.0,8,0.050632094055998264,0.03903727716864104,0.04316130708938171,0.3125,0.050622694194316864,2.609999895095825,2.539414808154106,0.9729559042993265,True
3,1,3,6.0,9,0.05963771005277886,0.04686000940512311,0.05135353690359066,1.2777777777777777,0.05943928824530707,2.499000072479248,2.4846346378326416,0.9942515269187829,True
3,1,4,8.0,8,0.05643402197781508,0.0480169337048591,0.055541696314049975,1.375,0.06360520049929619,2.2760000228881836,2.258131504058838,0.9921491570080606,True
3,1,5,10.0,8,0.07086480386441961,0.05480638690762052,0.04363025849562656,0.5625,0.05725110322237015,1.9759999513626099,1.9078354835510254,0.9655038109871513,True
3,2,1,0.0,7,0.07420158973639028,0.04899342978070685,0.031830338714243164,1.2142857142857142,0.07303697722298759,2.8450000286102295,2.8180901408195496,0.9905413400632459,True
3,2,2,4.0,8,0.050632094055998264,0.03903727716864104,0.04316130708938171,0.3125,0.050622694194316864,2.609999895095825,2.539414808154106,0.9729559042993265,True
3,2,3,6.0,9,0.05963771005277886,0.04686000940512311,0.05135353690359066,1.2777777777777777,0.05943928824530707,2.499000072479248,2.4846346378326416,0.9942515269187829,True
3,2,4,8.0,8,0.05643402197781508,0.0480169337048591,0.055541696314049975,1.375,0.06360520049929619,2.2760000228881836,2.258131504058838,0.9921491570080606,True
3,2,5,10.0,8,0.07086480386441961,0.05480638690762052,0.04363025849562656,0.5625,0.05725110322237015,1.9759999513626099,1.9078354835510254,0.9655038109871513,True
