n_levels,seed,curve_id,curve_idx,vr_class,kind,ordinal,center_va,segment_rmse,segment_d1_rmse,segment_d2_rmse,extremum_position_error,extremum_amplitude_error,contrast_error
1,0,1,0,0.0,peak,1,42.5,0.08217021912406415,0.05977431192047637,0.07116900618229509,1.0,0.10253667831420898,0.0372319370508194
1,0,1,0,0.0,peak,2,53.0,0.09796147576743779,0.07546006501567874,0.058491263779780506,1.5,0.07635807991027832,0.0372319370508194
1,0,1,0,0.0,peak,3,64.0,0.10240469138755669,0.07801211441985668,0.06446120869354044,1.5,0.08678579330444336,0.0372319370508194
1,0,1,0,0.0,peak,4,75.5,0.07755648003880347,0.06448231163560926,0.06774071444706532,1.0,0.10386300086975098,0.0372319370508194
1,0,1,0,0.0,valley,1,44.0,0.0916172521912268,0.04629409947182889,0.04054059236152067,3.0,0.10213136672973633,0.0372319370508194
1,0,1,0,0.0,valley,2,55.5,0.124373292781748,0.06709478206632098,0.04942995450534288,2.5,0.1427319049835205,0.0372319370508194
1,0,1,0,0.0,valley,3,67.0,0.11472818762995403,0.07298165944031422,0.04297042976617815,2.0,0.12632393836975098,0.0372319370508194
1,0,2,1,4.0,peak,1,42.5,0.06394370805110101,0.04860536272152219,0.05810611094367791,1.0,0.07910001277923584,0.0666588544845581
1,0,2,1,4.0,peak,2,53.5,0.05507955996234518,0.052591954551632125,0.07154128800157743,0.5,0.07217752933502197,0.0666588544845581
1,0,2,1,4.0,peak,3,65.0,0.035721937506438935,0.0517301615332352,0.08469213060870563,0.0,0.05331826210021973,0.0666588544845581
1,0,2,1,4.0,peak,4,77.0,0.11222645110389846,0.0863122825944991,0.06305138544829937,-1.0,-0.06490349769592285,0.0666588544845581
1,0,2,1,4.0,valley,1,35.5,0.036793712414532095,0.04064935449674154,0.025240144249983897,1.0,0.012657999992370605,0.0666588544845581
1,0,2,1,4.0,valley,2,46.5,0.0968743917289169,0.05936248224080104,0.04211507738613039,1.0,0.1149061918258667,0.0666588544845581
1,0,2,1,4.0,valley,3,58.0,0.11916208293823154,0.07422987693721032,0.061493272662936464,0.5,0.15125012397766113,0.0666588544845581
1,0,2,1,4.0,valley,4,69.5,0.0830560717618095,0.05317421611350371,0.05954179576330613,0.0,0.10474228858947754,0.0666588544845581
1,0,3,2,6.0,peak,1,32.5,0.07408084281889223,0.03955380009524273,0.047461450139944225,0.5,0.09593850374221802,0.018121004104614258
1,0,3,2,6.0,peak,2,43.0,0.06414270223477224,0.0569201519366739,0.05874749698688636,1.0,0.05494344234466553,0.018121004104614258
1,0,3,2,6.0,peak,3,54.0,0.054544420578427164,0.06103123006149598,0.08227995947411473,0.5,0.026695966720581055,0.018121004104614258
1,0,3,2,6.0,peak,4,66.0,0.05318207254159888,0.06157363626076387,0.11326103011023425,-0.5,-0.009401798248291016,0.018121004104614258
1,0,3,2,6.0,peak,5,77.5,0.17355366042123116,0.13493837685487006,0.13520120052859957,-1.0,-0.09636664390563965,0.018121004104614258
1,0,3,2,6.0,valley,1,36.5,0.04819711958164995,0.04485227657406506,0.030011163465421094,0.5,0.031681716442108154,0.018121004104614258
1,0,3,2,6.0,valley,2,47.5,0.131820545128297,0.07713181631348645,0.06338058007021903,1.0,0.16093426942825317,0.018121004104614258
1,0,3,2,6.0,valley,3,59.0,0.15547328684489456,0.08393684966819101,0.0725047859736848,0.5,0.1980123519897461,0.018121004104614258
1,0,3,2,6.0,valley,4,71.0,0.1384446207401308,0.07323952604427353,0.06783204596926878,-0.5,0.1747751235961914,0.018121004104614258
1,0,4,3,8.0,peak,1,33.0,0.09703720910626755,0.05297484599179776,0.05782678013856356,0.5,0.11660075187683105,0.010912895202636719
1,0,4,3,8.0,peak,2,43.5,0.0904914170868994,0.07768028368960517,0.0779382932053029,1.0,0.051390647888183594,0.010912895202636719
1,0,4,3,8.0,peak,3,55.0,0.0648072825372671,0.07769816630495033,0.10297084533902026,0.5,0.06350111961364746,0.010912895202636719
1,0,4,3,8.0,peak,4,66.5,0.07401372938425256,0.0810462829008675,0.1291685375676868,0.0,-0.0033298730850219727,0.010912895202636719
1,0,4,3,8.0,valley,1,37.0,0.0759811283460649,0.05812211618185619,0.023634157751281654,1.0,0.07101106643676758,0.010912895202636719
1,0,4,3,8.0,valley,2,48.5,0.1380023335129548,0.10343479061864014,0.08436162263443571,1.0,0.16215521097183228,0.010912895202636719
1,0,4,3,8.0,valley,3,60.0,0.12422471168162155,0.09421288792599351,0.10129697357077466,0.5,0.15810710191726685,0.010912895202636719
1,0,4,3,8.0,valley,4,72.0,0.13151935858547273,0.08905320887172434,0.07445001930788052,-0.5,0.15652996301651,0.010912895202636719
1,0,5,4,10.0,peak,1,34.0,0.15690271124148658,0.05710484205150772,0.052722572242604564,0.5,0.18060988187789917,0.0240476131439209
1,0,5,4,10.0,peak,2,44.5,0.12210091993486484,0.08396353576904945,0.07855862152015133,1.0,0.08778774738311768,0.0240476131439209
1,0,5,4,10.0,peak,3,56.0,0.07769284969384452,0.08364032097536774,0.10017883693961532,0.5,0.07092070579528809,0.0240476131439209
1,0,5,4,10.0,peak,4,67.5,0.06554497789464728,0.08005364795146976,0.11727736651081826,0.0,0.019367218017578125,0.0240476131439209
1,0,5,4,10.0,valley,1,38.5,0.0927666278805922,0.05932234048468796,0.0209752619934851,1.0,0.07901778817176819,0.0240476131439209
1,0,5,4,10.0,valley,2,50.0,0.12364695456679138,0.09237117831135457,0.049619494286367215,0.5,0.12338754534721375,0.0240476131439209
1,0,5,4,10.0,valley,3,61.5,0.06495935148602903,0.05916769483175246,0.047700249792634826,0.0,0.08141514658927917,0.0240476131439209
1,0,5,4,10.0,valley,4,73.0,0.12694381347624428,0.09925304191102499,0.060405892956693095,-0.5,0.10640674829483032,0.0240476131439209
1,1,1,0,0.0,peak,1,42.5,0.08217021912406415,0.05977431192047637,0.07116900618229509,1.0,0.10253667831420898,0.0372319370508194
1,1,1,0,0.0,peak,2,53.0,0.09796147576743779,0.07546006501567874,0.058491263779780506,1.5,0.07635807991027832,0.0372319370508194
1,1,1,0,0.0,peak,3,64.0,0.10240469138755669,0.07801211441985668,0.06446120869354044,1.5,0.08678579330444336,0.0372319370508194
1,1,1,0,0.0,peak,4,75.5,0.07755648003880347,0.06448231163560926,0.06774071444706532,1.0,0.10386300086975098,0.0372319370508194
1,1,1,0,0.0,valley,1,44.0,0.0916172521912268,0.04629409947182889,0.04054059236152067,3.0,0.10213136672973633,0.0372319370508194
1,1,1,0,0.0,valley,2,55.5,0.124373292781748,0.06709478206632098,0.04942995450534288,2.5,0.1427319049835205,0.0372319370508194
1,1,1,0,0.0,valley,3,67.0,0.11472818762995403,0.07298165944031422,0.04297042976617815,2.0,0.12632393836975098,0.0372319370508194
1,1,2,1,4.0,peak,1,42.5,0.06394370805110101,0.04860536272152219,0.05810611094367791,1.0,0.07910001277923584,0.0666588544845581
1,1,2,1,4.0,peak,2,53.5,0.05507955996234518,0.052591954551632125,0.07154128800157743,0.5,0.07217752933502197,0.0666588544845581
1,1,2,1,4.0,peak,3,65.0,0.035721937506438935,0.0517301615332352,0.08469213060870563,0.0,0.05331826210021973,0.0666588544845581
1,1,2,1,4.0,peak,4,77.0,0.11222645110389846,0.0863122825944991,0.06305138544829937,-1.0,-0.06490349769592285,0.0666588544845581
1,1,2,1,4.0,valley,1,35.5,0.036793712414532095,0.04064935449674154,0.025240144249983897,1.0,0.012657999992370605,0.0666588544845581
