n_levels,seed,curve_id,vr_class,segment_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,position_error_abs_mean,amplitude_error_abs_mean,target_oscillation_range,pred_oscillation_range,oscillation_ratio,flatline_guard_pass
1,0,1,0.0,7,0.06827944898655189,0.05218434729628034,0.036499589061664575,1.2857142857142858,0.06667690617697579,2.8450000286102295,2.794080466032028,0.9821020871472275,True
1,0,2,4.0,8,0.05014338976198843,0.04193599539896073,0.05067581433669906,0.3125,0.04780986160039902,2.609999895095825,2.5541709885001183,0.9786096134713993,True
1,0,3,6.0,9,0.05966743465387639,0.05098555002747031,0.06294683151257165,1.3333333333333333,0.0555452307065328,2.499000072479248,2.5108580589294434,1.0047450924795016,True
1,0,4,8.0,8,0.055081842646120135,0.04978925360404389,0.06428106096352776,1.375,0.061387624591588974,2.2760000228881836,2.2883071899414062,1.0054073668407109,True
1,0,5,10.0,8,0.07337288441340654,0.05475270554099072,0.054103906838713134,0.5,0.06188439577817917,1.9759999513626099,1.976954698562622,1.000483171671818,True
1,1,1,0.0,7,0.06827944898655189,0.05218434729628034,0.036499589061664575,1.2857142857142858,0.06667690617697579,2.8450000286102295,2.794080466032028,0.9821020871472275,True
1,1,2,4.0,8,0.05014338976198843,0.04193599539896073,0.05067581433669906,0.3125,0.04780986160039902,2.609999895095825,2.5541709885001183,0.9786096134713993,True
1,1,3,6.0,9,0.05966743465387639,0.05098555002747031,0.06294683151257165,1.3333333333333333,0.0555452307065328,2.499000072479248,2.5108580589294434,1.0047450924795016,True
1,1,4,8.0,8,0.055081842646120135,0.04978925360404389,0.06428106096352776,1.375,0.061387624591588974,2.2760000228881836,2.2883071899414062,1.0054073668407109,True
1,1,5,10.0,8,0.07337288441340654,0.05475270554099072,0.054103906838713134,0.5,0.06188439577817917,1.9759999513626099,1.976954698562622,1.000483171671818,True
1,2,1,0.0,7,0.06827944898655189,0.05218434729628034,0.036499589061664575,1.2857142857142858,0.06667690617697579,2.8450000286102295,2.794080466032028,0.9821020871472275,True
1,2,2,4.0,8,0.05014338976198843,0.04193599539896073,0.05067581433669906,0.3125,0.04780986160039902,2.609999895095825,2.5541709885001183,0.9786096134713993,True
1,2,3,6.0,9,0.05966743465387639,0.05098555002747031,0.06294683151257165,1.3333333333333333,0.0555452307065328,2.499000072479248,2.5108580589294434,1.0047450924795016,True
1,2,4,8.0,8,0.055081842646120135,0.04978925360404389,0.06428106096352776,1.375,0.061387624591588974,2.2760000228881836,2.2883071899414062,1.0054073668407109,True
1,2,5,10.0,8,0.07337288441340654,0.05475270554099072,0.054103906838713134,0.5,0.06188439577817917,1.9759999513626099,1.976954698562622,1.000483171671818,True
2,0,1,0.0,7,0.07183991811069886,0.05051519792850075,0.0350055440793358,1.2142857142857142,0.06979201521192278,2.8450000286102295,2.7988410592079163,0.9837754063486384,True
2,0,2,4.0,8,0.049999031281578406,0.03950535908281826,0.04394374345960163,0.3125,0.04985944181680679,2.609999895095825,2.532672442495823,0.970372622334085,True
2,0,3,6.0,9,0.05860171618655833,0.04764311864394681,0.05378184758048745,1.3333333333333333,0.05793579419453939,2.499000072479248,2.4853832721710205,0.9945511004748718,True
2,0,4,8.0,8,0.054810977908222466,0.04976498022787383,0.06249677041189841,1.375,0.0603523813188076,2.2760000228881836,2.2422969341278076,0.9851919646654451,True
2,0,5,10.0,8,0.07037980597129384,0.05480122337344283,0.0490028793185805,0.5625,0.057963866740465164,1.9759999513626099,1.9092586040496826,0.9662240136863851,True
2,1,1,0.0,7,0.07183991811069886,0.05051519792850075,0.0350055440793358,1.2142857142857142,0.06979201521192278,2.8450000286102295,2.7988410592079163,0.9837754063486384,True
2,1,2,4.0,8,0.049999031281578406,0.03950535908281826,0.04394374345960163,0.3125,0.04985944181680679,2.609999895095825,2.532672442495823,0.970372622334085,True
2,1,3,6.0,9,0.05860171618655833,0.04764311864394681,0.05378184758048745,1.3333333333333333,0.05793579419453939,2.499000072479248,2.4853832721710205,0.9945511004748718,True
2,1,4,8.0,8,0.054810977908222466,0.04976498022787383,0.06249677041189841,1.375,0.0603523813188076,2.2760000228881836,2.2422969341278076,0.9851919646654451,True
2,1,5,10.0,8,0.07037980597129384,0.05480122337344283,0.0490028793185805,0.5625,0.057963866740465164,1.9759999513626099,1.9092586040496826,0.9662240136863851,True
2,2,1,0.0,7,0.07183991811069886,0.05051519792850075,0.0350055440793358,1.2142857142857142,0.06979201521192278,2.8450000286102295,2.7988410592079163,0.9837754063486384,True
2,2,2,4.0,8,0.049999031281578406,0.03950535908281826,0.04394374345960163,0.3125,0.04985944181680679,2.609999895095825,2.532672442495823,0.970372622334085,True
2,2,3,6.0,9,0.05860171618655833,0.04764311864394681,0.05378184758048745,1.3333333333333333,0.05793579419453939,2.499000072479248,2.4853832721710205,0.9945511004748718,True
2,2,4,8.0,8,0.054810977908222466,0.04976498022787383,0.06249677041189841,1.375,0.0603523813188076,2.2760000228881836,2.2422969341278076,0.9851919646654451,True
2,2,5,10.0,8,0.07037980597129384,0.05480122337344283,0.0490028793185805,0.5625,0.057963866740465164,1.9759999513626099,1.9092586040496826,0.9662240136863851,True
3,0,1,0.0,7,0.07267459001787953,0.048831199669105256,0.03186250187499199,1.2142857142857142,0.07116179806845528,2.8450000286102295,2.8009110391139984,0.9845029915455683,True
3,0,2,4.0,8,0.05078191883406006,0.03942717873445257,0.04343173238782278,0.3125,0.04998929798603058,2.609999895095825,2.5380943566560745,0.9724499841648037,True
