n_levels,seed,curve_id,vr_class,late_va_min,late_bias_fit_minus_target,late_target_range,late_pred_range,late_valley_count,late_valley_lift_mean,is_high_vr
1,0,1,0.0,60.0,-0.0388143934854647,0.6150000095367432,0.934898853302002,1,0.09800362586975098,False
1,0,2,4.0,60.0,-0.011405622086873868,1.0489999055862427,1.0932327508926392,1,0.0832362174987793,False
1,0,3,6.0,60.0,-0.0068191609731534635,1.439000129699707,1.3378428220748901,1,0.1353996992111206,False
1,0,4,8.0,60.0,-0.014431771708697808,1.5730000138282776,1.474660873413086,1,0.10998505353927612,True
1,0,5,10.0,60.0,0.006410238946356424,1.5959999561309814,1.5525247752666473,1,0.06695586442947388,True
1,1,1,0.0,60.0,-0.0388143934854647,0.6150000095367432,0.934898853302002,1,0.09800362586975098,False
1,1,2,4.0,60.0,-0.011405622086873868,1.0489999055862427,1.0932327508926392,1,0.0832362174987793,False
1,1,3,6.0,60.0,-0.0068191609731534635,1.439000129699707,1.3378428220748901,1,0.1353996992111206,False
1,1,4,8.0,60.0,-0.014431771708697808,1.5730000138282776,1.474660873413086,1,0.10998505353927612,True
1,1,5,10.0,60.0,0.006410238946356424,1.5959999561309814,1.5525247752666473,1,0.06695586442947388,True
1,2,1,0.0,60.0,-0.0388143934854647,0.6150000095367432,0.934898853302002,1,0.09800362586975098,False
1,2,2,4.0,60.0,-0.011405622086873868,1.0489999055862427,1.0932327508926392,1,0.0832362174987793,False
1,2,3,6.0,60.0,-0.0068191609731534635,1.439000129699707,1.3378428220748901,1,0.1353996992111206,False
1,2,4,8.0,60.0,-0.014431771708697808,1.5730000138282776,1.474660873413086,1,0.10998505353927612,True
1,2,5,10.0,60.0,0.006410238946356424,1.5959999561309814,1.5525247752666473,1,0.06695586442947388,True
2,0,1,0.0,60.0,-0.025932643471694574,0.6150000095367432,0.9328804016113281,1,0.10890579223632812,False
2,0,2,4.0,60.0,-0.009041222130380026,1.0489999055862427,1.0741981267929077,1,0.09392380714416504,False
2,0,3,6.0,60.0,-0.004962717614522795,1.439000129699707,1.3163117170333862,1,0.14796161651611328,False
2,0,4,8.0,60.0,-0.016138744063493683,1.5730000138282776,1.4413784742355347,1,0.1119731068611145,True
2,0,5,10.0,60.0,-0.0018009448923715732,1.5959999561309814,1.4847684800624847,1,0.08469575643539429,True
2,1,1,0.0,60.0,-0.025932643471694574,0.6150000095367432,0.9328804016113281,1,0.10890579223632812,False
2,1,2,4.0,60.0,-0.009041222130380026,1.0489999055862427,1.0741981267929077,1,0.09392380714416504,False
2,1,3,6.0,60.0,-0.004962717614522795,1.439000129699707,1.3163117170333862,1,0.14796161651611328,False
2,1,4,8.0,60.0,-0.016138744063493683,1.5730000138282776,1.4413784742355347,1,0.1119731068611145,True
2,1,5,10.0,60.0,-0.0018009448923715732,1.5959999561309814,1.4847684800624847,1,0.08469575643539429,True
2,2,1,0.0,60.0,-0.025932643471694574,0.6150000095367432,0.9328804016113281,1,0.10890579223632812,False
2,2,2,4.0,60.0,-0.009041222130380026,1.0489999055862427,1.0741981267929077,1,0.09392380714416504,False
2,2,3,6.0,60.0,-0.004962717614522795,1.439000129699707,1.3163117170333862,1,0.14796161651611328,False
2,2,4,8.0,60.0,-0.016138744063493683,1.5730000138282776,1.4413784742355347,1,0.1119731068611145,True
2,2,5,10.0,60.0,-0.0018009448923715732,1.5959999561309814,1.4847684800624847,1,0.08469575643539429,True
3,0,1,0.0,60.0,-0.020219209717541205,0.6150000095367432,0.9305059909820557,1,0.11149835586547852,False
3,0,2,4.0,60.0,-0.0069918777884506594,1.0489999055862427,1.0792070627212524,1,0.10140728950500488,False
3,0,3,6.0,60.0,-0.0065799282818305785,1.439000129699707,1.3178778886795044,1,0.15466737747192383,False
3,0,4,8.0,60.0,-0.018195374709803883,1.5730000138282776,1.4599903225898743,1,0.11758512258529663,True
3,0,5,10.0,60.0,-0.0064924075836088595,1.5959999561309814,1.482897162437439,1,0.09758305549621582,True
3,1,1,0.0,60.0,-0.020219209717541205,0.6150000095367432,0.9305059909820557,1,0.11149835586547852,False
3,1,2,4.0,60.0,-0.0069918777884506594,1.0489999055862427,1.0792070627212524,1,0.10140728950500488,False
3,1,3,6.0,60.0,-0.0065799282818305785,1.439000129699707,1.3178778886795044,1,0.15466737747192383,False
3,1,4,8.0,60.0,-0.018195374709803883,1.5730000138282776,1.4599903225898743,1,0.11758512258529663,True
3,1,5,10.0,60.0,-0.0064924075836088595,1.5959999561309814,1.482897162437439,1,0.09758305549621582,True
3,2,1,0.0,60.0,-0.020219209717541205,0.6150000095367432,0.9305059909820557,1,0.11149835586547852,False
3,2,2,4.0,60.0,-0.0069918777884506594,1.0489999055862427,1.0792070627212524,1,0.10140728950500488,False
3,2,3,6.0,60.0,-0.0065799282818305785,1.439000129699707,1.3178778886795044,1,0.15466737747192383,False
3,2,4,8.0,60.0,-0.018195374709803883,1.5730000138282776,1.4599903225898743,1,0.11758512258529663,True
3,2,5,10.0,60.0,-0.0064924075836088595,1.5959999561309814,1.482897162437439,1,0.09758305549621582,True
4,0,1,0.0,60.0,-0.020315914619259717,0.6150000095367432,0.9181325435638428,1,0.12437701225280762,False
4,0,2,4.0,60.0,-0.003975600731082079,1.0489999055862427,1.0451581478118896,1,0.055010437965393066,False
4,0,3,6.0,60.0,0.002016285570656381,1.439000129699707,1.2981696128845215,1,0.09134161472320557,False
4,0,4,8.0,60.0,-0.00443777223912681,1.5730000138282776,1.4414659142494202,1,0.050161659717559814,True
4,0,5,10.0,60.0,-0.008989214897155762,1.5959999561309814,1.5195742547512054,1,0.0,True
4,1,1,0.0,60.0,-0.020315914619259717,0.6150000095367432,0.9181325435638428,1,0.12437701225280762,False
4,1,2,4.0,60.0,-0.003975600731082079,1.0489999055862427,1.0451581478118896,1,0.055010437965393066,False
4,1,3,6.0,60.0,0.002016285570656381,1.439000129699707,1.2981696128845215,1,0.09134161472320557,False
4,1,4,8.0,60.0,-0.00443777223912681,1.5730000138282776,1.4414659142494202,1,0.050161659717559814,True
4,1,5,10.0,60.0,-0.008989214897155762,1.5959999561309814,1.5195742547512054,1,0.0,True
4,2,1,0.0,60.0,-0.020315914619259717,0.6150000095367432,0.9181325435638428,1,0.12437701225280762,False
4,2,2,4.0,60.0,-0.003975600731082079,1.0489999055862427,1.0451581478118896,1,0.055010437965393066,False
4,2,3,6.0,60.0,0.002016285570656381,1.439000129699707,1.2981696128845215,1,0.09134161472320557,False
4,2,4,8.0,60.0,-0.00443777223912681,1.5730000138282776,1.4414659142494202,1,0.050161659717559814,True
4,2,5,10.0,60.0,-0.008989214897155762,1.5959999561309814,1.5195742547512054,1,0.0,True
5,0,1,0.0,60.0,-0.018906587507666613,0.6150000095367432,0.9150204658508301,1,0.12294912338256836,False
5,0,2,4.0,60.0,-0.0030353185607165825,1.0489999055862427,1.048750877380371,1,0.062473177909851074,False
5,0,3,6.0,60.0,0.0006375487257794636,1.439000129699707,1.3042798042297363,1,0.09868967533111572,False
5,0,4,8.0,60.0,-0.001475395225897068,1.5730000138282776,1.4561037421226501,1,0.05943262577056885,True
5,0,5,10.0,60.0,-0.009724702776932135,1.5959999561309814,1.5312770903110504,1,0.0,True
5,1,1,0.0,60.0,-0.018906587507666613,0.6150000095367432,0.9150204658508301,1,0.12294912338256836,False
5,1,2,4.0,60.0,-0.0030353185607165825,1.0489999055862427,1.048750877380371,1,0.062473177909851074,False
5,1,3,6.0,60.0,0.0006375487257794636,1.439000129699707,1.3042798042297363,1,0.09868967533111572,False
5,1,4,8.0,60.0,-0.001475395225897068,1.5730000138282776,1.4561037421226501,1,0.05943262577056885,True
5,1,5,10.0,60.0,-0.009724702776932135,1.5959999561309814,1.5312770903110504,1,0.0,True
5,2,1,0.0,60.0,-0.018906587507666613,0.6150000095367432,0.9150204658508301,1,0.12294912338256836,False
5,2,2,4.0,60.0,-0.0030353185607165825,1.0489999055862427,1.048750877380371,1,0.062473177909851074,False
5,2,3,6.0,60.0,0.0006375487257794636,1.439000129699707,1.3042798042297363,1,0.09868967533111572,False
5,2,4,8.0,60.0,-0.001475395225897068,1.5730000138282776,1.4561037421226501,1,0.05943262577056885,True
5,2,5,10.0,60.0,-0.009724702776932135,1.5959999561309814,1.5312770903110504,1,0.0,True
6,0,1,0.0,60.0,-0.018947490831700768,0.6150000095367432,0.9186587333679199,1,0.12425637245178223,False
6,0,2,4.0,60.0,-0.0017215187956647175,1.0489999055862427,1.0543465614318848,1,0.07235336303710938,False
6,0,3,6.0,60.0,0.00017762474897431164,1.439000129699707,1.31472647190094,1,0.10590040683746338,False
6,0,4,8.0,60.0,-0.006334076567393977,1.5730000138282776,1.462483823299408,1,0.06308525800704956,True
6,0,5,10.0,60.0,-0.010998360267499598,1.5959999561309814,1.5400543212890625,1,0.003670990467071533,True
6,1,1,0.0,60.0,-0.018947490831700768,0.6150000095367432,0.9186587333679199,1,0.12425637245178223,False
6,1,2,4.0,60.0,-0.0017215187956647175,1.0489999055862427,1.0543465614318848,1,0.07235336303710938,False
6,1,3,6.0,60.0,0.00017762474897431164,1.439000129699707,1.31472647190094,1,0.10590040683746338,False
6,1,4,8.0,60.0,-0.006334076567393977,1.5730000138282776,1.462483823299408,1,0.06308525800704956,True
6,1,5,10.0,60.0,-0.010998360267499598,1.5959999561309814,1.5400543212890625,1,0.003670990467071533,True
6,2,1,0.0,60.0,-0.018947490831700768,0.6150000095367432,0.9186587333679199,1,0.12425637245178223,False
6,2,2,4.0,60.0,-0.0017215187956647175,1.0489999055862427,1.0543465614318848,1,0.07235336303710938,False
6,2,3,6.0,60.0,0.00017762474897431164,1.439000129699707,1.31472647190094,1,0.10590040683746338,False
6,2,4,8.0,60.0,-0.006334076567393977,1.5730000138282776,1.462483823299408,1,0.06308525800704956,True
6,2,5,10.0,60.0,-0.010998360267499598,1.5959999561309814,1.5400543212890625,1,0.003670990467071533,True
7,0,1,0.0,60.0,-0.01900554284816835,0.6150000095367432,0.9183187484741211,1,0.12360835075378418,False
7,0,2,4.0,60.0,-0.002094893920712355,1.0489999055862427,1.0538181066513062,1,0.06951391696929932,False
7,0,3,6.0,60.0,0.0015081777805235328,1.439000129699707,1.3153817653656006,1,0.105385422706604,False
7,0,4,8.0,60.0,-0.004896140680080507,1.5730000138282776,1.4635913968086243,1,0.06400489807128906,True
7,0,5,10.0,60.0,-0.010754023383303387,1.5959999561309814,1.5403922200202942,1,0.005208134651184082,True
7,1,1,0.0,60.0,-0.01900554284816835,0.6150000095367432,0.9183187484741211,1,0.12360835075378418,False
7,1,2,4.0,60.0,-0.002094893920712355,1.0489999055862427,1.0538181066513062,1,0.06951391696929932,False
7,1,3,6.0,60.0,0.0015081777805235328,1.439000129699707,1.3153817653656006,1,0.105385422706604,False
7,1,4,8.0,60.0,-0.004896140680080507,1.5730000138282776,1.4635913968086243,1,0.06400489807128906,True
7,1,5,10.0,60.0,-0.010754023383303387,1.5959999561309814,1.5403922200202942,1,0.005208134651184082,True
7,2,1,0.0,60.0,-0.01900554284816835,0.6150000095367432,0.9183187484741211,1,0.12360835075378418,False
7,2,2,4.0,60.0,-0.002094893920712355,1.0489999055862427,1.0538181066513062,1,0.06951391696929932,False
7,2,3,6.0,60.0,0.0015081777805235328,1.439000129699707,1.3153817653656006,1,0.105385422706604,False
7,2,4,8.0,60.0,-0.004896140680080507,1.5730000138282776,1.4635913968086243,1,0.06400489807128906,True
7,2,5,10.0,60.0,-0.010754023383303387,1.5959999561309814,1.5403922200202942,1,0.005208134651184082,True
8,0,1,0.0,60.0,-0.018810813019915325,0.6150000095367432,0.9193398952484131,1,0.12488651275634766,False
8,0,2,4.0,60.0,-0.0030562819504156343,1.0489999055862427,1.0553516149520874,1,0.06950783729553223,False
8,0,3,6.0,60.0,-0.0005069447726738163,1.439000129699707,1.3211618661880493,1,0.10542130470275879,False
8,0,4,8.0,60.0,-0.006135702133178711,1.5730000138282776,1.4680310487747192,1,0.0641375184059143,True
8,0,5,10.0,60.0,-0.01037810561133594,1.5959999561309814,1.5381410419940948,1,0.012793362140655518,True
8,1,1,0.0,60.0,-0.018810813019915325,0.6150000095367432,0.9193398952484131,1,0.12488651275634766,False
8,1,2,4.0,60.0,-0.0030562819504156343,1.0489999055862427,1.0553516149520874,1,0.06950783729553223,False
8,1,3,6.0,60.0,-0.0005069447726738163,1.439000129699707,1.3211618661880493,1,0.10542130470275879,False
8,1,4,8.0,60.0,-0.006135702133178711,1.5730000138282776,1.4680310487747192,1,0.0641375184059143,True
8,1,5,10.0,60.0,-0.01037810561133594,1.5959999561309814,1.5381410419940948,1,0.012793362140655518,True
8,2,1,0.0,60.0,-0.018810813019915325,0.6150000095367432,0.9193398952484131,1,0.12488651275634766,False
8,2,2,4.0,60.0,-0.0030562819504156343,1.0489999055862427,1.0553516149520874,1,0.06950783729553223,False
8,2,3,6.0,60.0,-0.0005069447726738163,1.439000129699707,1.3211618661880493,1,0.10542130470275879,False
8,2,4,8.0,60.0,-0.006135702133178711,1.5730000138282776,1.4680310487747192,1,0.0641375184059143,True
8,2,5,10.0,60.0,-0.01037810561133594,1.5959999561309814,1.5381410419940948,1,0.012793362140655518,True
