n_levels,seed,curve_id,vr_class,segment_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,position_error_abs_mean,amplitude_error_abs_mean,target_oscillation_range,pred_oscillation_range,oscillation_ratio,flatline_guard_pass
1,0,2,4.0,8,0.03957186877411718,0.026064846446063245,0.026961643418827674,0.3125,0.0333959236741066,2.609999895095825,2.543290175497532,0.9744407194331155,True
1,0,3,6.0,9,0.034245210303084306,0.029505939136112134,0.03458341198738017,1.3333333333333333,0.029172758261362713,2.499000072479248,2.47900010086596,0.9919968103108352,True
1,0,4,8.0,8,0.033305139951976745,0.02569374850322806,0.03773203057027678,1.375,0.034940723329782486,2.2760000228881836,2.262622356414795,0.9941222907122765,True
1,0,5,10.0,8,0.03686796415755628,0.021545281139908647,0.023185213578111364,0.25,0.030832789838314056,1.9759999513626099,1.9336178302764893,0.978551557626864,True
1,1,2,4.0,8,0.03957186877411718,0.026064846446063245,0.026961643418827674,0.3125,0.0333959236741066,2.609999895095825,2.543290175497532,0.9744407194331155,True
1,1,3,6.0,9,0.034245210303084306,0.029505939136112134,0.03458341198738017,1.3333333333333333,0.029172758261362713,2.499000072479248,2.47900010086596,0.9919968103108352,True
1,1,4,8.0,8,0.033305139951976745,0.02569374850322806,0.03773203057027678,1.375,0.034940723329782486,2.2760000228881836,2.262622356414795,0.9941222907122765,True
1,1,5,10.0,8,0.03686796415755628,0.021545281139908647,0.023185213578111364,0.25,0.030832789838314056,1.9759999513626099,1.9336178302764893,0.978551557626864,True
1,2,2,4.0,8,0.03957186877411718,0.026064846446063245,0.026961643418827674,0.3125,0.0333959236741066,2.609999895095825,2.543290175497532,0.9744407194331155,True
1,2,3,6.0,9,0.034245210303084306,0.029505939136112134,0.03458341198738017,1.3333333333333333,0.029172758261362713,2.499000072479248,2.47900010086596,0.9919968103108352,True
1,2,4,8.0,8,0.033305139951976745,0.02569374850322806,0.03773203057027678,1.375,0.034940723329782486,2.2760000228881836,2.262622356414795,0.9941222907122765,True
1,2,5,10.0,8,0.03686796415755628,0.021545281139908647,0.023185213578111364,0.25,0.030832789838314056,1.9759999513626099,1.9336178302764893,0.978551557626864,True
2,0,2,4.0,8,0.040880929563156754,0.02564003955808926,0.02392421179098641,0.3125,0.03721609711647034,2.609999895095825,2.5406133607029915,0.9734151198537553,True
2,0,3,6.0,9,0.034477537306447495,0.028852538446858263,0.029051205260973243,1.2777777777777777,0.02941752804650201,2.499000072479248,2.475258357822895,0.9904995142185815,True
2,0,4,8.0,8,0.03339657528884089,0.025242527265986227,0.033451630199182084,1.375,0.03640183433890343,2.2760000228881836,2.245466947555542,0.9865847649272447,True
2,0,5,10.0,8,0.03744301154052859,0.02095499266863423,0.0188774728280703,0.25,0.03383404761552811,1.9759999513626099,1.9101672172546387,0.9666838381941385,True
2,1,2,4.0,8,0.040880929563156754,0.02564003955808926,0.02392421179098641,0.3125,0.03721609711647034,2.609999895095825,2.5406133607029915,0.9734151198537553,True
2,1,3,6.0,9,0.034477537306447495,0.028852538446858263,0.029051205260973243,1.2777777777777777,0.02941752804650201,2.499000072479248,2.475258357822895,0.9904995142185815,True
2,1,4,8.0,8,0.03339657528884089,0.025242527265986227,0.033451630199182084,1.375,0.03640183433890343,2.2760000228881836,2.245466947555542,0.9865847649272447,True
2,1,5,10.0,8,0.03744301154052859,0.02095499266863423,0.0188774728280703,0.25,0.03383404761552811,1.9759999513626099,1.9101672172546387,0.9666838381941385,True
2,2,2,4.0,8,0.040880929563156754,0.02564003955808926,0.02392421179098641,0.3125,0.03721609711647034,2.609999895095825,2.5406133607029915,0.9734151198537553,True
2,2,3,6.0,9,0.034477537306447495,0.028852538446858263,0.029051205260973243,1.2777777777777777,0.02941752804650201,2.499000072479248,2.475258357822895,0.9904995142185815,True
2,2,4,8.0,8,0.03339657528884089,0.025242527265986227,0.033451630199182084,1.375,0.03640183433890343,2.2760000228881836,2.245466947555542,0.9865847649272447,True
2,2,5,10.0,8,0.03744301154052859,0.02095499266863423,0.0188774728280703,0.25,0.03383404761552811,1.9759999513626099,1.9101672172546387,0.9666838381941385,True
3,0,2,4.0,8,0.04163461110026252,0.025474511159891806,0.02261181671162075,0.3125,0.03843124955892563,2.609999895095825,2.5438806265592575,0.9746669459026396,True
3,0,3,6.0,9,0.034848806955097116,0.02905233993415751,0.028393923917559398,1.2777777777777777,0.03053973118464152,2.499000072479248,2.4738363940268755,0.9899305011114274,True
3,0,4,8.0,8,0.03404425438558607,0.025378670315009073,0.032673639146800985,1.375,0.03736579790711403,2.2760000228881836,2.2492904663085938,0.9882646940637126,True
3,0,5,10.0,8,0.03908354756670039,0.02228280160142021,0.021394341208297307,0.25,0.0346861258149147,1.9759999513626099,1.9096319675445557,0.9664129628281174,True
3,1,2,4.0,8,0.04163461110026252,0.025474511159891806,0.02261181671162075,0.3125,0.03843124955892563,2.609999895095825,2.5438806265592575,0.9746669459026396,True
3,1,3,6.0,9,0.034848806955097116,0.02905233993415751,0.028393923917559398,1.2777777777777777,0.03053973118464152,2.499000072479248,2.4738363940268755,0.9899305011114274,True
3,1,4,8.0,8,0.03404425438558607,0.025378670315009073,0.032673639146800985,1.375,0.03736579790711403,2.2760000228881836,2.2492904663085938,0.9882646940637126,True
3,1,5,10.0,8,0.03908354756670039,0.02228280160142021,0.021394341208297307,0.25,0.0346861258149147,1.9759999513626099,1.9096319675445557,0.9664129628281174,True
3,2,2,4.0,8,0.04163461110026252,0.025474511159891806,0.02261181671162075,0.3125,0.03843124955892563,2.609999895095825,2.5438806265592575,0.9746669459026396,True
3,2,3,6.0,9,0.034848806955097116,0.02905233993415751,0.028393923917559398,1.2777777777777777,0.03053973118464152,2.499000072479248,2.4738363940268755,0.9899305011114274,True
3,2,4,8.0,8,0.03404425438558607,0.025378670315009073,0.032673639146800985,1.375,0.03736579790711403,2.2760000228881836,2.2492904663085938,0.9882646940637126,True
3,2,5,10.0,8,0.03908354756670039,0.02228280160142021,0.021394341208297307,0.25,0.0346861258149147,1.9759999513626099,1.9096319675445557,0.9664129628281174,True
4,0,2,4.0,8,0.04234876358732323,0.02496102168192198,0.02195697643408374,0.3125,0.03956884145736694,2.609999895095825,2.5408687219023705,0.9735129593976798,True
4,0,3,6.0,9,0.03388803726435761,0.02787277579761989,0.027651571429332108,1.3333333333333333,0.028958386845058866,2.499000072479248,2.468914832919836,0.987961088960848,True
4,0,4,8.0,8,0.03407151179749283,0.025202517044765727,0.03296100389605728,1.375,0.03651658445596695,2.2760000228881836,2.2385284900665283,0.9835362335479659,True
4,0,5,10.0,8,0.04037848626348204,0.02231796191143097,0.02034203094038234,0.25,0.03564853221178055,1.9759999513626099,1.8993046283721924,0.9611865764786431,True
4,1,2,4.0,8,0.04234876358732323,0.02496102168192198,0.02195697643408374,0.3125,0.03956884145736694,2.609999895095825,2.5408687219023705,0.9735129593976798,True
4,1,3,6.0,9,0.03388803726435761,0.02787277579761989,0.027651571429332108,1.3333333333333333,0.028958386845058866,2.499000072479248,2.468914832919836,0.987961088960848,True
4,1,4,8.0,8,0.03407151179749283,0.025202517044765727,0.03296100389605728,1.375,0.03651658445596695,2.2760000228881836,2.2385284900665283,0.9835362335479659,True
4,1,5,10.0,8,0.04037848626348204,0.02231796191143097,0.02034203094038234,0.25,0.03564853221178055,1.9759999513626099,1.8993046283721924,0.9611865764786431,True
4,2,2,4.0,8,0.04234876358732323,0.02496102168192198,0.02195697643408374,0.3125,0.03956884145736694,2.609999895095825,2.5408687219023705,0.9735129593976798,True
4,2,3,6.0,9,0.03388803726435761,0.02787277579761989,0.027651571429332108,1.3333333333333333,0.028958386845058866,2.499000072479248,2.468914832919836,0.987961088960848,True
4,2,4,8.0,8,0.03407151179749283,0.025202517044765727,0.03296100389605728,1.375,0.03651658445596695,2.2760000228881836,2.2385284900665283,0.9835362335479659,True
4,2,5,10.0,8,0.04037848626348204,0.02231796191143097,0.02034203094038234,0.25,0.03564853221178055,1.9759999513626099,1.8993046283721924,0.9611865764786431,True
5,0,2,4.0,8,0.034616961709960994,0.02269648058299551,0.022179306892470142,0.1875,0.031861692667007446,2.609999895095825,2.5511045679450035,0.9774347396482714,True
5,0,3,6.0,9,0.03330857283259983,0.026061218854443863,0.02696635612056074,1.2222222222222223,0.03489314185248481,2.499000072479248,2.4884728118777275,0.9957874108458602,True
5,0,4,8.0,8,0.029891535216127856,0.022141127061385518,0.03400347034595495,0.0625,0.037873104214668274,2.2760000228881836,2.254669427871704,0.9906280339182899,True
5,0,5,10.0,8,0.03300162309291144,0.018657466117361556,0.020860948010903373,0.1875,0.030838564038276672,1.9759999513626099,1.9218968152999878,0.9726198697397165,True
5,1,2,4.0,8,0.034616961709960994,0.02269648058299551,0.022179306892470142,0.1875,0.031861692667007446,2.609999895095825,2.5511045679450035,0.9774347396482714,True
5,1,3,6.0,9,0.03330857283259983,0.026061218854443863,0.02696635612056074,1.2222222222222223,0.03489314185248481,2.499000072479248,2.4884728118777275,0.9957874108458602,True
5,1,4,8.0,8,0.029891535216127856,0.022141127061385518,0.03400347034595495,0.0625,0.037873104214668274,2.2760000228881836,2.254669427871704,0.9906280339182899,True
5,1,5,10.0,8,0.03300162309291144,0.018657466117361556,0.020860948010903373,0.1875,0.030838564038276672,1.9759999513626099,1.9218968152999878,0.9726198697397165,True
5,2,2,4.0,8,0.034616961709960994,0.02269648058299551,0.022179306892470142,0.1875,0.031861692667007446,2.609999895095825,2.5511045679450035,0.9774347396482714,True
5,2,3,6.0,9,0.03330857283259983,0.026061218854443863,0.02696635612056074,1.2222222222222223,0.03489314185248481,2.499000072479248,2.4884728118777275,0.9957874108458602,True
5,2,4,8.0,8,0.029891535216127856,0.022141127061385518,0.03400347034595495,0.0625,0.037873104214668274,2.2760000228881836,2.254669427871704,0.9906280339182899,True
5,2,5,10.0,8,0.03300162309291144,0.018657466117361556,0.020860948010903373,0.1875,0.030838564038276672,1.9759999513626099,1.9218968152999878,0.9726198697397165,True
6,0,2,4.0,8,0.03481593794412956,0.022270562672408213,0.021855679838951272,0.1875,0.03145444393157959,2.609999895095825,2.548759713768959,0.9765363280504585,True
6,0,3,6.0,9,0.03167230661316904,0.025131282598379587,0.0287066977134231,1.2222222222222223,0.03398258156246609,2.499000072479248,2.4818455427885056,0.9931354424997181,True
6,0,4,8.0,8,0.029026257039139077,0.021200658380427888,0.03312249072068121,0.0625,0.037710461765527725,2.2760000228881836,2.2514004707336426,0.9891917610249736,True
6,0,5,10.0,8,0.032627002585032,0.01891041021445187,0.0218908054321421,0.1875,0.02854766696691513,1.9759999513626099,1.913873314857483,0.96855939370733,True
6,1,2,4.0,8,0.03481593794412956,0.022270562672408213,0.021855679838951272,0.1875,0.03145444393157959,2.609999895095825,2.548759713768959,0.9765363280504585,True
6,1,3,6.0,9,0.03167230661316904,0.025131282598379587,0.0287066977134231,1.2222222222222223,0.03398258156246609,2.499000072479248,2.4818455427885056,0.9931354424997181,True
6,1,4,8.0,8,0.029026257039139077,0.021200658380427888,0.03312249072068121,0.0625,0.037710461765527725,2.2760000228881836,2.2514004707336426,0.9891917610249736,True
6,1,5,10.0,8,0.032627002585032,0.01891041021445187,0.0218908054321421,0.1875,0.02854766696691513,1.9759999513626099,1.913873314857483,0.96855939370733,True
6,2,2,4.0,8,0.03481593794412956,0.022270562672408213,0.021855679838951272,0.1875,0.03145444393157959,2.609999895095825,2.548759713768959,0.9765363280504585,True
6,2,3,6.0,9,0.03167230661316904,0.025131282598379587,0.0287066977134231,1.2222222222222223,0.03398258156246609,2.499000072479248,2.4818455427885056,0.9931354424997181,True
6,2,4,8.0,8,0.029026257039139077,0.021200658380427888,0.03312249072068121,0.0625,0.037710461765527725,2.2760000228881836,2.2514004707336426,0.9891917610249736,True
6,2,5,10.0,8,0.032627002585032,0.01891041021445187,0.0218908054321421,0.1875,0.02854766696691513,1.9759999513626099,1.913873314857483,0.96855939370733,True
7,0,2,4.0,8,0.03482723772354634,0.02196176501499223,0.022350191957520856,0.1875,0.030982762575149536,2.609999895095825,2.5468524917960167,0.9758055916329874,True
7,0,3,6.0,9,0.03160327235733335,0.025014916159666528,0.029119845435318106,1.2222222222222223,0.0336752004093594,2.499000072479248,2.4793440848588943,0.9921344589634793,True
7,0,4,8.0,8,0.028592756797817035,0.02118715638140344,0.03423037500506926,0.0625,0.037753261625766754,2.2760000228881836,2.248898506164551,0.988092479590909,True
7,0,5,10.0,8,0.032948374682226104,0.01931633910158495,0.022274991805567204,0.1875,0.029516253620386124,1.9759999513626099,1.9120206832885742,0.9676218271007968,True
7,1,2,4.0,8,0.03482723772354634,0.02196176501499223,0.022350191957520856,0.1875,0.030982762575149536,2.609999895095825,2.5468524917960167,0.9758055916329874,True
7,1,3,6.0,9,0.03160327235733335,0.025014916159666528,0.029119845435318106,1.2222222222222223,0.0336752004093594,2.499000072479248,2.4793440848588943,0.9921344589634793,True
7,1,4,8.0,8,0.028592756797817035,0.02118715638140344,0.03423037500506926,0.0625,0.037753261625766754,2.2760000228881836,2.248898506164551,0.988092479590909,True
