n_levels,seed,segment_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,position_error_abs_mean,amplitude_error_abs_mean,contrast_error_mean,flatline_guard_pass
1,0,32,0.062324731532748784,0.0513238593795346,0.054706535307995234,1.140625,0.06167312618345022,0.022651740815490484,True
1,1,32,0.062324731532748784,0.0513238593795346,0.054706535307995234,1.140625,0.06167312618345022,0.022651740815490484,True
1,2,32,0.062324731532748784,0.0513238593795346,0.054706535307995234,1.140625,0.06167312618345022,0.022651740815490484,True
2,0,32,0.06241862637392881,0.04992213460557439,0.04986947032359822,1.15625,0.05994714517146349,0.03705639112740755,True
2,1,32,0.06241862637392881,0.04992213460557439,0.04986947032359822,1.15625,0.05994714517146349,0.03705639112740755,True
2,2,32,0.06241862637392881,0.04992213460557439,0.04986947032359822,1.15625,0.05994714517146349,0.03705639112740755,True
3,0,32,0.06337177550454007,0.049281951462631604,0.045883816095412366,1.125,0.06089998222887516,0.03110575210303068,True
3,1,32,0.06337177550454007,0.049281951462631604,0.045883816095412366,1.125,0.06089998222887516,0.03110575210303068,True
3,2,32,0.06337177550454007,0.049281951462631604,0.045883816095412366,1.125,0.06089998222887516,0.03110575210303068,True
4,0,32,0.050711782477022065,0.03714551403970275,0.03783832809991255,0.75,0.04827424697577953,0.04020771663635969,True
4,1,32,0.050711782477022065,0.03714551403970275,0.03783832809991255,0.75,0.04827424697577953,0.04020771663635969,True
4,2,32,0.050711782477022065,0.03714551403970275,0.03783832809991255,0.75,0.04827424697577953,0.04020771663635969,True
5,0,32,0.05146234981267816,0.037741894944992846,0.03742000500829479,0.75,0.048024543561041355,0.0327478377148509,True
5,1,32,0.05146234981267816,0.037741894944992846,0.03742000500829479,0.75,0.048024543561041355,0.0327478377148509,True
5,2,32,0.05146234981267816,0.037741894944992846,0.03742000500829479,0.75,0.048024543561041355,0.0327478377148509,True
6,0,32,0.05156910561661281,0.037219137817506076,0.03681245028949222,0.75,0.04753300920128822,0.03114003036171198,True
6,1,32,0.05156910561661281,0.037219137817506076,0.03681245028949222,0.75,0.04753300920128822,0.03114003036171198,True
6,2,32,0.05156910561661281,0.037219137817506076,0.03681245028949222,0.75,0.04753300920128822,0.03114003036171198,True
7,0,32,0.05102743001673103,0.0368473315474341,0.03710134290277086,0.75,0.04663632903248072,0.03333857050165534,True
7,1,32,0.05102743001673103,0.0368473315474341,0.03710134290277086,0.75,0.04663632903248072,0.03333857050165534,True
7,2,32,0.05102743001673103,0.0368473315474341,0.03710134290277086,0.75,0.04663632903248072,0.03333857050165534,True
8,0,32,0.05080198010650953,0.0365409164138545,0.03690774423450685,0.75,0.04657095670700073,0.03419447178021073,True
8,1,32,0.05080198010650953,0.0365409164138545,0.03690774423450685,0.75,0.04657095670700073,0.03419447178021073,True
8,2,32,0.05080198010650953,0.0365409164138545,0.03690774423450685,0.75,0.04657095670700073,0.03419447178021073,True
