scenario,selected_k,selected_composite_rank_score,best_k_by_fit,best_k_by_d1_rmse,best_k_by_d2_rmse,best_k_by_structure,best_k_by_physical_response,best_k_by_bic,best_k_by_aic,weight_rmse,weight_summary,weight_d1,weight_d2,weight_structure,weight_physical,weight_bic,weight_aic,weight_degeneracy
baseline,4,15.0,4,8,8,8,4,4,4,1.0,1.0,1.0,1.0,1.25,1.0,1.0,0.5,1.0
rmse_minus_25pct,4,14.75,4,8,8,8,4,4,4,0.75,1.0,1.0,1.0,1.25,1.0,1.0,0.5,1.0
rmse_plus_25pct,4,15.25,4,8,8,8,4,4,4,1.25,1.0,1.0,1.0,1.25,1.0,1.0,0.5,1.0
summary_minus_25pct,4,14.75,4,8,8,8,4,4,4,1.0,0.75,1.0,1.0,1.25,1.0,1.0,0.5,1.0
summary_plus_25pct,4,15.25,4,8,8,8,4,4,4,1.0,1.25,1.0,1.0,1.25,1.0,1.0,0.5,1.0
d1_minus_25pct,4,14.25,4,8,8,8,4,4,4,1.0,1.0,0.75,1.0,1.25,1.0,1.0,0.5,1.0
d1_plus_25pct,4,15.75,4,8,8,8,4,4,4,1.0,1.0,1.25,1.0,1.25,1.0,1.0,0.5,1.0
d2_minus_25pct,4,14.0,4,8,8,8,4,4,4,1.0,1.0,1.0,0.75,1.25,1.0,1.0,0.5,1.0
d2_plus_25pct,4,16.0,4,8,8,8,4,4,4,1.0,1.0,1.0,1.25,1.25,1.0,1.0,0.5,1.0
structure_minus_25pct,4,14.375,4,8,8,8,4,4,4,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.5,1.0
structure_plus_25pct,4,15.625,4,8,8,8,4,4,4,1.0,1.0,1.0,1.0,1.5625,1.0,1.0,0.5,1.0
physical_minus_25pct,4,14.75,4,8,8,8,4,4,4,1.0,1.0,1.0,1.0,1.25,0.75,1.0,0.5,1.0
physical_plus_25pct,4,15.25,4,8,8,8,4,4,4,1.0,1.0,1.0,1.0,1.25,1.25,1.0,0.5,1.0
bic_minus_25pct,4,14.75,4,8,8,8,4,4,4,1.0,1.0,1.0,1.0,1.25,1.0,0.75,0.5,1.0
bic_plus_25pct,4,15.25,4,8,8,8,4,4,4,1.0,1.0,1.0,1.0,1.25,1.0,1.25,0.5,1.0
aic_minus_25pct,4,14.875,4,8,8,8,4,4,4,1.0,1.0,1.0,1.0,1.25,1.0,1.0,0.375,1.0
aic_plus_25pct,4,15.125,4,8,8,8,4,4,4,1.0,1.0,1.0,1.0,1.25,1.0,1.0,0.625,1.0
degeneracy_minus_25pct,4,14.75,4,8,8,8,4,4,4,1.0,1.0,1.0,1.0,1.25,1.0,1.0,0.5,0.75
degeneracy_plus_25pct,4,15.25,4,8,8,8,4,4,4,1.0,1.0,1.0,1.0,1.25,1.0,1.0,0.5,1.25
fit_heavy,4,17.0,4,8,8,8,4,4,4,1.5,1.5,1.25,1.25,1.0,0.75,1.0,0.5,1.0
structure_heavy,4,17.25,4,8,8,8,4,4,4,0.75,0.75,1.25,1.25,1.75,1.0,1.0,0.5,1.0
physical_heavy,4,14.5,4,8,8,8,4,4,4,0.75,0.75,1.0,1.0,1.0,1.5,1.0,0.5,1.0
complexity_heavy,4,15.75,4,8,8,8,4,4,4,0.75,0.75,1.0,1.0,1.25,1.0,1.5,0.75,1.5
