epoch,loss_total,loss_monitor,loss_raw,loss_d1,loss_d2,loss_peak_window,loss_smooth,loss_vr_late_bias,loss_vr_amplitude_ratio,loss_high_vr_valley_depth,loss_reg,best_epoch,early_stop_wait,early_stop
1,0.6905457973480225,1.2329422235488892,0.5287578701972961,0.0111384941264987,0.0041812993586063385,0.5940819978713989,1.4044309864402749e-05,1.114271879196167,1.6364924907684326,0.020847763866186142,0.0024507250636816025,1,0,False
10,0.6302430629730225,1.1232317686080933,0.4834764003753662,0.01087932474911213,0.0041002919897437096,0.5437682867050171,1.5386232917080633e-05,1.0185060501098633,1.4500081539154053,0.026074105873703957,0.002442945959046483,10,0,False
20,0.5675808191299438,1.0101094245910645,0.4360438287258148,0.01062169298529625,0.004020010121166706,0.4910295605659485,1.6923851944739e-05,0.9181029200553894,1.2657856941223145,0.03257349133491516,0.0024393461644649506,20,0,False
30,0.5103719234466553,0.9082652926445007,0.39210617542266846,0.01040386687964201,0.0039549656212329865,0.4421332776546478,1.8622014977154322e-05,0.8247412443161011,1.114516019821167,0.03981863334774971,0.002440330572426319,30,0,False
40,0.45891422033309937,0.8181474208831787,0.35192540287971497,0.010225499980151653,0.00390747282654047,0.39737969636917114,2.0603250959538855e-05,0.7387901544570923,0.9960652589797974,0.047882817685604095,0.002444020938128233,40,0,False
50,0.4129790663719177,0.7387898564338684,0.31557708978652954,0.010080888867378235,0.0038774244021624327,0.35686802864074707,2.296290585945826e-05,0.6603475213050842,0.9023605585098267,0.056900858879089355,0.002449273131787777,50,0,False
60,0.37248095870018005,0.6699308156967163,0.28304430842399597,0.009958747774362564,0.0038628638722002506,0.32059744000434875,2.5893939891830087e-05,0.5893973708152771,0.8316494226455688,0.06690041720867157,0.0024572601541876793,60,0,False
70,0.3368135690689087,0.609777569770813,0.2541790306568146,0.009844466112554073,0.003859893884509802,0.2884070873260498,2.9662123779417016e-05,0.5257631540298462,0.773147702217102,0.0777384489774704,0.0024701489601284266,70,0,False
80,0.30539533495903015,0.5567899942398071,0.22875213623046875,0.009726026095449924,0.003866178449243307,0.2600422501564026,3.471314630587585e-05,0.4691101908683777,0.719338595867157,0.08905065804719925,0.0024922725278884172,80,0,False
90,0.2777651250362396,0.5099374651908875,0.20650021731853485,0.009596371091902256,0.0038797464221715927,0.23520007729530334,4.130159140913747e-05,0.4190475046634674,0.6670020818710327,0.10037782043218613,0.002522584516555071,90,0,False
100,0.25357353687286377,0.4686139225959778,0.1871483027935028,0.009454827755689621,0.0039002657867968082,0.21354933083057404,4.9417034460930154e-05,0.37517982721328735,0.6162522435188293,0.11119075119495392,0.002556086052209139,100,0,False
110,0.23237687349319458,0.4319190979003906,0.1703977882862091,0.009302429854869843,0.003930800594389439,0.19471701979637146,5.9240894188405946e-05,0.33708077669143677,0.5656898617744446,0.12079572677612305,0.0025921431370079517,110,0,False
120,0.2138744741678238,0.39948394894599915,0.15593628585338593,0.009142046794295311,0.003973721992224455,0.17835158109664917,7.090788858477026e-05,0.3041483759880066,0.5174971222877502,0.12879669666290283,0.002630939707159996,120,0,False
130,0.1977253258228302,0.370796799659729,0.14345607161521912,0.008976674638688564,0.004029450472444296,0.16413210332393646,8.443994011031464e-05,0.27571016550064087,0.4723037779331207,0.1350945681333542,0.0026723756454885006,130,0,False
140,0.18358643352985382,0.34531307220458984,0.1326623260974884,0.008807925507426262,0.004097240976989269,0.15174494683742523,9.979858441511169e-05,0.25114667415618896,0.4302745759487152,0.13960963487625122,0.002716335467994213,140,0,False
150,0.17113153636455536,0.3225030303001404,0.12328076362609863,0.00863647274672985,0.004175275098532438,0.14089368283748627,0.00011686862853821367,0.22989365458488464,0.39135250449180603,0.14228712022304535,0.0027626485098153353,150,0,False
160,0.160064235329628,0.30188441276550293,0.11506335437297821,0.008462515659630299,0.004260909743607044,0.1313076913356781,0.000135457405121997,0.21144135296344757,0.3554084599018097,0.1431121677160263,0.0028111457359045744,160,0,False
170,0.15012653172016144,0.28304189443588257,0.10779295861721039,0.008285988122224808,0.004350811243057251,0.12274924665689468,0.00015529597294516861,0.1953364610671997,0.32229718565940857,0.1421222686767578,0.0028617221396416426,170,0,False
180,0.14110127091407776,0.26563236117362976,0.10128472000360489,0.008106688037514687,0.004441155586391687,0.1150168925523758,0.00017605486209504306,0.18118035793304443,0.2918670177459717,0.13941657543182373,0.002914345357567072,180,0,False
190,0.13279463350772858,0.24932043254375458,0.09538710117340088,0.007924677804112434,0.004528438672423363,0.10794435441493988,0.00019738278933800757,0.16863544285297394,0.2635372281074524,0.13512440025806427,0.002969072200357914,190,0,False
200,0.12501999735832214,0.23369060456752777,0.0899888426065445,0.007747714873403311,0.004620085470378399,0.10137102752923965,0.00021918441052548587,0.1574898660182953,0.23627924919128418,0.12901508808135986,0.003026408376172185,200,0,False
210,0.1177767813205719,0.21897415816783905,0.08499713987112045,0.007573476526886225,0.004707109183073044,0.0952434316277504,0.00024094832770060748,0.1474224030971527,0.2117638885974884,0.12180781364440918,0.003085944801568985,210,0,False
220,0.11099357157945633,0.20513276755809784,0.0803268551826477,0.0073915147222578526,0.0047739227302372456,0.08950789272785187,0.00026216456899419427,0.13817399740219116,0.1898411065340042,0.11409024894237518,0.0031476099975407124,220,0,False
230,0.10459228605031967,0.1920267939567566,0.07592165470123291,0.00719717750325799,0.004813233856111765,0.0841057226061821,0.00028243393171578646,0.12960490584373474,0.16994155943393707,0.10606153309345245,0.003211062168702483,230,0,False
240,0.0985417515039444,0.17961016297340393,0.07175498455762863,0.0069945454597473145,0.0048284283839166164,0.07899869978427887,0.00030155901913531125,0.12163988500833511,0.15196658670902252,0.09781316667795181,0.003275969997048378,240,0,False
250,0.09282747656106949,0.16786369681358337,0.06781372427940369,0.006791610270738602,0.00482713570818305,0.074162557721138,0.0003195044118911028,0.1142200380563736,0.1358618289232254,0.08942387998104095,0.0033422422129660845,250,0,False
260,0.08743555843830109,0.15677449107170105,0.06408412009477615,0.0065916189923882484,0.004811217542737722,0.069581538438797,0.00033611408434808254,0.10728136450052261,0.12151511758565903,0.08103370666503906,0.0034094667062163353,260,0,False
270,0.0823541060090065,0.14634326100349426,0.06055273860692978,0.006392450537532568,0.004779225680977106,0.0652492493391037,0.0003511809918563813,0.10076461732387543,0.10877825319766998,0.0728503093123436,0.003475662088021636,270,0,False
280,0.0775785967707634,0.13659024238586426,0.057213593274354935,0.006189628504216671,0.004719346761703491,0.06116555258631706,0.00036350867594592273,0.09463636577129364,0.09761949628591537,0.06505845487117767,0.003534221090376377,280,0,False
290,0.07310731709003448,0.127530038356781,0.05406154319643974,0.00598402414470911,0.004636650905013084,0.057328931987285614,0.0003732538898475468,0.0888630598783493,0.08801557123661041,0.05778319388628006,0.0035833646543323994,290,0,False
300,0.0689190924167633,0.11908005177974701,0.05109509080648422,0.005785624496638775,0.004543679766356945,0.05372874066233635,0.0003811214701272547,0.08341716229915619,0.07943607866764069,0.05100485682487488,0.003627076279371977,300,0,False
310,0.06501878798007965,0.1112724244594574,0.048307254910469055,0.005594703834503889,0.004445383790880442,0.05036594718694687,0.0003876671544276178,0.0782674103975296,0.07197128236293793,0.04484160616993904,0.003667576005682349,310,0,False
320,0.06139639765024185,0.10411720722913742,0.04567938670516014,0.005398654844611883,0.004327470436692238,0.04723767563700676,0.00039269664557650685,0.07338767498731613,0.06568993628025055,0.039412304759025574,0.003705693408846855,320,0,False
330,0.058022309094667435,0.09750702232122421,0.04321160539984703,0.005202135071158409,0.004197936039417982,0.044331662356853485,0.00039642647607252,0.06878450512886047,0.060018837451934814,0.034613464027643204,0.003741208929568529,330,0,False
340,0.05489211529493332,0.09142111241817474,0.040905438363552094,0.005010639317333698,0.004060543607920408,0.041635893285274506,0.00039861505501903594,0.06446321308612823,0.0549917034804821,0.03034749999642372,0.003773131174966693,340,0,False
350,0.052000775933265686,0.08584767580032349,0.03875741735100746,0.0048299515619874,0.003924183547496796,0.03913646936416626,0.0003995393926743418,0.06041007488965988,0.0507037416100502,0.026552414521574974,0.0038010673597455025,350,0,False
360,0.049333054572343826,0.0807531476020813,0.03675774857401848,0.004658936057239771,0.0037888772785663605,0.03682387247681618,0.00039936546818353236,0.05660860612988472,0.04704965278506279,0.023219076916575432,0.003825792809948325,360,0,False
370,0.04688124731183052,0.07612685114145279,0.034897997975349426,0.0044969962909817696,0.0036547507625073195,0.034689661115407944,0.00039827387081459165,0.05304478481411934,0.04408591240644455,0.020329589024186134,0.003848107298836112,370,0,False
380,0.044625092297792435,0.0719134658575058,0.03317010775208473,0.004343818873167038,0.0035239115823060274,0.032723717391490936,0.0003965044452343136,0.04970843344926834,0.04158233478665352,0.017845863476395607,0.003868495114147663,380,0,False
390,0.042543426156044006,0.0680599957704544,0.031563643366098404,0.004195088054984808,0.003391437930986285,0.030915070325136185,0.0003939144662581384,0.04659856855869293,0.039362452924251556,0.015719639137387276,0.0038873550947755575,390,0,False
400,0.040626008063554764,0.06454426050186157,0.030071575194597244,0.00405279453843832,0.0032609596382826567,0.02924956940114498,0.0003906135098077357,0.04370371624827385,0.03747399151325226,0.013892099261283875,0.003904550801962614,400,0,False
410,0.03885602205991745,0.06132493168115616,0.028685325756669044,0.0039163320325315,0.0031319824047386646,0.027714699506759644,0.00038655902608297765,0.041013143956661224,0.035815488547086716,0.012318841181695461,0.003920017275959253,410,0,False
420,0.03722316771745682,0.058382727205753326,0.0273967944085598,0.003785244422033429,0.0030060787685215473,0.026300033554434776,0.0003819094563368708,0.038515057414770126,0.034409619867801666,0.010968312621116638,0.003933844622224569,420,0,False
430,0.03571651875972748,0.05569382756948471,0.02619883418083191,0.0036596625577658415,0.0028834945987910032,0.024995826184749603,0.000376731448341161,0.03619551658630371,0.03323138877749443,0.009814230725169182,0.0039461469277739525,430,0,False
440,0.03433143347501755,0.05325514078140259,0.025084808468818665,0.0035403589718043804,0.0027649581898003817,0.023792263120412827,0.00037110893754288554,0.03403790295124054,0.032400406897068024,0.008832170628011227,0.003957013599574566,440,0,False
450,0.03305279463529587,0.0510258786380291,0.024048762395977974,0.0034264246933162212,0.0026512660551816225,0.02268296107649803,0.0003652312734629959,0.032034143805503845,0.03172711655497551,0.008005371317267418,0.003966715186834335,450,0,False
460,0.031870387494564056,0.04898209869861603,0.023084785789251328,0.0033165421336889267,0.002541575813665986,0.021660950034856796,0.00035916900378651917,0.03017808496952057,0.03115100786089897,0.0073122926987707615,0.0039755357429385185,460,0,False
470,0.030775919556617737,0.04710652679204941,0.022186964750289917,0.003210966009646654,0.0024368013255298138,0.0207170732319355,0.0003529811219777912,0.028458217158913612,0.03067934513092041,0.006726723164319992,0.003983540926128626,470,0,False
480,0.02976072207093239,0.04537978395819664,0.021349815651774406,0.003109285607933998,0.0023346529342234135,0.019843600690364838,0.00034654029877856374,0.026863684877753258,0.030287757515907288,0.006229306571185589,0.0039908066391944885,480,0,False
490,0.028818070888519287,0.043788015842437744,0.02056857757270336,0.0030113670509308577,0.002236643573269248,0.019034702330827713,0.00034001836320385337,0.025385182350873947,0.02996087074279785,0.005808201618492603,0.003997492603957653,490,0,False
500,0.02794165350496769,0.042317215353250504,0.019839219748973846,0.002917792182415724,0.0021436240058392286,0.018285062164068222,0.0003334879002068192,0.024012025445699692,0.02967633306980133,0.0054522426798939705,0.004003711510449648,500,0,False
510,0.02712581306695938,0.040954746305942535,0.019158082082867622,0.0028285696171224117,0.0020555551163852215,0.017590345814824104,0.00032701442250981927,0.02273629978299141,0.02941269241273403,0.005150577984750271,0.0040096198208630085,510,0,False
520,0.02636650763452053,0.03969532623887062,0.0185209009796381,0.002744539175182581,0.0019737831316888332,0.016944585368037224,0.00032067467691376805,0.021546559408307076,0.029212335124611855,0.004893063101917505,0.004015238955616951,520,0,False
530,0.02565917745232582,0.03852913901209831,0.017924660816788673,0.0026659260038286448,0.001898256130516529,0.01634439267218113,0.00031452695839107037,0.020436163991689682,0.02905004657804966,0.00467660604044795,0.0040207491256296635,530,0,False
540,0.025027306750416756,0.03752228990197182,0.01738012209534645,0.0025938923936337233,0.001827780157327652,0.015801914036273956,0.00030817691003903747,0.019424444064497948,0.029095593839883804,0.0045940205454826355,0.004024737048894167,540,0,False
550,0.024448296055197716,0.03661365434527397,0.01687823049724102,0.0025277440436184406,0.0017632062081247568,0.015307677909731865,0.000302053609630093,0.01849244348704815,0.029154647141695023,0.004581159446388483,0.004026815760880709,550,0,False
560,0.023908697068691254,0.03576511889696121,0.016411490738391876,0.0024673573207110167,0.0017043473199009895,0.014851999469101429,0.00029648441704921424,0.01763153448700905,0.02913680672645569,0.004580802284181118,0.00402920413762331,560,0,False
570,0.023403041064739227,0.03496704250574112,0.015974344685673714,0.0024129427038133144,0.0016507895197719336,0.014426818117499352,0.0002914652868639678,0.01683259755373001,0.029086029157042503,0.004569285083562136,0.004032658878713846,570,0,False
580,0.02292744629085064,0.034211769700050354,0.015563653782010078,0.0023646813351660967,0.001603935263119638,0.014028025791049004,0.00028714677318930626,0.016086360439658165,0.029002472758293152,0.004541166126728058,0.00403742678463459,580,0,False
590,0.02247961424291134,0.033494312316179276,0.015177948400378227,0.002321954583749175,0.001562970457598567,0.013653954491019249,0.0002835284103639424,0.01538470946252346,0.028872525319457054,0.004501156974583864,0.004043435677886009,590,0,False
600,0.02205805294215679,0.03281480446457863,0.014815181493759155,0.002283577574416995,0.001526505104266107,0.013302396051585674,0.0002804691030178219,0.01472076028585434,0.028725232928991318,0.004454643465578556,0.004050285089761019,600,0,False
610,0.021661432459950447,0.032174576073884964,0.014473031274974346,0.0022484161891043186,0.0014931218465790153,0.012970802374184132,0.0002777809859253466,0.014089146628975868,0.0286059882491827,0.0044029951095581055,0.004057563841342926,610,0,False
620,0.021288275718688965,0.0315730981528759,0.014149677939713001,0.0022157602943480015,0.0014621118316426873,0.012657384388148785,0.00027534979744814336,0.013486362993717194,0.028536418452858925,0.004347053822129965,0.004065024666488171,620,0,False
630,0.020937010645866394,0.031007422134280205,0.013844050467014313,0.002185502555221319,0.0014338267501443624,0.012361127883195877,0.00027314183535054326,0.012909302487969398,0.028516162186861038,0.004284468945115805,0.004072523210197687,630,0,False
640,0.020606543868780136,0.030475759878754616,0.013554912991821766,0.0021574588026851416,0.0014078076928853989,0.012080351822078228,0.00027113239048048854,0.012351682409644127,0.028565850108861923,0.004210310988128185,0.00408007251098752,640,0,False
650,0.020304203033447266,0.029995977878570557,0.013286356814205647,0.002133753849193454,0.0013859034515917301,0.011816570535302162,0.0002694377035368234,0.011807828210294247,0.028817489743232727,0.004111449234187603,0.004086405970156193,650,0,False
660,0.020036334171891212,0.029587049037218094,0.013043885119259357,0.0021144459024071693,0.0013669480103999376,0.01158109214156866,0.00026752956910058856,0.011302104219794273,0.02918613888323307,0.004055514000356197,0.004089847672730684,660,0,False
670,0.019786754623055458,0.029232095927000046,0.01281648874282837,0.002091226866468787,0.001343081472441554,0.011375129222869873,0.00026358553441241384,0.010835166089236736,0.02941778302192688,0.00417815987020731,0.0040876190178096294,670,0,False
680,0.019547559320926666,0.028867971152067184,0.012597307562828064,0.002074511256068945,0.001326648285612464,0.01116116251796484,0.0002618836297187954,0.010334676131606102,0.029887283220887184,0.004115828312933445,0.004090707749128342,680,0,False
690,0.019305244088172913,0.02848234958946705,0.012383379973471165,0.0020559816621243954,0.0013093875022605062,0.010958255268633366,0.0002600862644612789,0.009874369949102402,0.030021008104085922,0.004078165628015995,0.004094971809536219,690,0,False
700,0.019072361290454865,0.028118012472987175,0.012180076912045479,0.00203360035084188,0.001289044856093824,0.010774648748338223,0.00025732049834914505,0.009464967995882034,0.02994360961019993,0.004136651288717985,0.004097361117601395,700,0,False
710,0.01887914352118969,0.02780025824904442,0.012011626735329628,0.00202085729688406,0.0012757334625348449,0.010612597689032555,0.0002562870504334569,0.00909170787781477,0.03003290668129921,0.004067723639309406,0.004101830534636974,710,0,False
720,0.018712371587753296,0.02755635976791382,0.011862469837069511,0.0020030303858220577,0.0012592569692060351,0.01047413982450962,0.00025360804283991456,0.008788438513875008,0.03032183274626732,0.004044500645250082,0.004098314791917801,720,0,False
730,0.018543625250458717,0.027276592329144478,0.011720029637217522,0.0019869825337082148,0.0012444504536688328,0.010339973494410515,0.00025201993412338197,0.008481668308377266,0.030260136350989342,0.004022178240120411,0.004099767189472914,730,0,False
